fusion,CCLE_Omics,Breast,sources,source_count
BEST1--SLC16A3,1,0,CCLE_Omics,1
BICC1--HNRNPA2B1,1,0,CCLE_Omics,1
BIN3--EGR3,1,0,CCLE_Omics,1
BIRC2--TMEM123,1,0,CCLE_Omics,1
BIRC5--RPS19,1,0,CCLE_Omics,1
BIRC6--TTC27,1,0,CCLE_Omics,1
BLOC1S5--TXNDC5,1,0,CCLE_Omics,1
BMPR2--FAM117B,1,0,CCLE_Omics,1
BMPR2--NOP58,1,0,CCLE_Omics,1
BNIP3L--PPP2R2A,1,0,CCLE_Omics,1
BOLA2B--SMG1P4,1,0,CCLE_Omics,1
BOLA2B--SMG1P5,1,0,CCLE_Omics,1
BOP1--MROH1,1,0,CCLE_Omics,1
BORCS5--DUSP16,1,0,CCLE_Omics,1
BPTF--LRRC37A2,1,0,CCLE_Omics,1
BPTF--VIM,1,0,CCLE_Omics,1
BRD2--MT-CYB,1,0,CCLE_Omics,1
BRI3BP--UBC,1,0,CCLE_Omics,1
BRK1--LDLR,1,0,CCLE_Omics,1
BRK1--VHL,0,1,Breast,1
BRPF3--MAPK14,1,0,CCLE_Omics,1
BRWD1--LCA5L,1,0,CCLE_Omics,1
BSG--MT-CO3,1,0,CCLE_Omics,1
BSG--MT-RNR2,1,0,CCLE_Omics,1
BSG--SHC2,1,0,CCLE_Omics,1
C11orf58--NPM1,1,0,CCLE_Omics,1
C11orf68--DRAP1,1,0,CCLE_Omics,1
C11orf80--RBM14,1,0,CCLE_Omics,1
C16orf87--ORC6,1,0,CCLE_Omics,1
C18orf25--HAUS1,1,0,CCLE_Omics,1
C19orf25--DAZAP1,1,0,CCLE_Omics,1
C1QTNF7-AS1--FBXL5,1,0,CCLE_Omics,1
C21orf58--PCNT,1,0,CCLE_Omics,1
C22orf39--UFD1,1,0,CCLE_Omics,1
C2orf42--PCBP1-AS1,1,0,CCLE_Omics,1
C3--RPL23,1,0,CCLE_Omics,1
C7orf50--COX19,1,0,CCLE_Omics,1
C7orf50--MAD1L1,1,0,CCLE_Omics,1
C7orf50--SLC39A1,1,0,CCLE_Omics,1
C7orf50--SUN1,1,0,CCLE_Omics,1
C7orf50--ZFAND2A,1,0,CCLE_Omics,1
C8orf33--SLC3A2,1,0,CCLE_Omics,1
CA12--MYH9,1,0,CCLE_Omics,1
CA4--TANC2,1,0,CCLE_Omics,1
CABP4--TMEM134,1,0,CCLE_Omics,1
CABYR--LAMA3,1,0,CCLE_Omics,1
CACYBP--RABGAP1L,1,0,CCLE_Omics,1
CALM1--HNRNPC,1,0,CCLE_Omics,1
CALM2--EEF1A1,1,0,CCLE_Omics,1
CALM3--MT-ND4,1,0,CCLE_Omics,1
CALM3--PSMA7,1,0,CCLE_Omics,1
CALR--GAPDH,1,0,CCLE_Omics,1
CALR--HSP90AB1,1,0,CCLE_Omics,1
CALR--NCL,1,0,CCLE_Omics,1
CALR--PTMA,1,0,CCLE_Omics,1
CALR--RPLP0,1,0,CCLE_Omics,1
CALR--TPT1,1,0,CCLE_Omics,1
CALR--UBB,1,0,CCLE_Omics,1
CALU--MT-CO2,1,0,CCLE_Omics,1
CAMK2G--NDST2,1,0,CCLE_Omics,1
